,analysis_sample_rate,audio_md5,danceability,duration,end_of_fade_in,energy,idx_bars_confidence,idx_bars_start,idx_beats_confidence,idx_beats_start,idx_sections_confidence,idx_sections_start,idx_segments_confidence,idx_segments_loudness_max,idx_segments_loudness_max_time,idx_segments_loudness_start,idx_segments_pitches,idx_segments_start,idx_segments_timbre,idx_tatums_confidence,idx_tatums_start,key,key_confidence,loudness,mode,mode_confidence,start_of_fade_out,tempo,time_signature,time_signature_confidence,track_id,analyzer_version,artist_7digitalid,artist_familiarity,artist_hotttnesss,artist_id,artist_latitude,artist_location,artist_longitude,artist_mbid,artist_name,artist_playmeid,genre,idx_artist_terms,idx_similar_artists,release,release_7digitalid,song_hotttnesss,song_id,title,track_7digitalid,idx_artist_mbtags,year
0,22050,a222795e07cd65b7a530f1346f520649,0.0,218.93179,0.247,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.736,-11.197,0,0.636,218.932,92.198,4,0.778,TRAAAAW128F429D538,,165270,0.5817937658450281,0.4019975433642836,ARD7TVE1187B99BFB1,,California - LA,,e77e51a5-4761-45b3-9847-2051f811e366,Casual,4479,,0,0,Fear Itself,300848,0.6021199899057548,SOMZWCG12A8C13C480,I Didn't Mean To,3401791,0,0
1,22050,bb9771eeef3d5b204a3c55e690f52a91,0.0,148.03546,0.148,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.169,-9.843,0,0.43,137.915,121.274,4,0.384,TRAAABD128F429CF47,,1998,0.6306300375898077,0.4174996449709784,ARMJAGH1187FB546F3,35.14968,"Memphis, TN",-90.04892,1c78ab62-db33-4433-8d0b-7c8dcf1849c2,The Box Tops,22066,,0,0,Dimensions,300822,,SOCIWDW12A8C13D406,Soul Deep,3400270,0,1969
2,22050,fa329738005ca53715d9f7381a0d1fe3,0.0,177.47546,0.282,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.643,-9.689,1,0.565,172.304,100.07,1,0.0,TRAAADZ128F9348C2E,,290021,0.4873567909281477,0.34342837829688244,ARKRRTF1187B9984DA,,,,7a273984-edd9-4451-9c4d-39b38f05ebcd,Sonora Santanera,13951,,0,0,Las Numero 1 De La Sonora Santanera,514953,,SOXVLOJ12AB0189215,Amor De Cabaret,5703798,0,0
3,22050,43cd1abd45d5a2dda16a3c65b4963bd4,0.0,233.40363,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.751,-9.013,1,0.749,217.124,119.293,4,0.0,TRAAAEF128F4273421,,19072,0.6303823341467806,0.4542311565706205,AR7G5I41187FB4CE6C,,"London, England",,e188a520-9cb7-4f73-a3d7-2f70c6538e92,Adam Ant,12697,,0,0,Friend Or Foe,287650,,SONHOTT12A8C13493C,Something Girls,3226795,0,1982
4,22050,580a8fe08ef0f1c7734b84547d7a8bc7,0.0,209.60608,0.066,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.092,-4.501,1,0.371,198.699,129.738,4,0.562,TRAAAFD128F92F423A,,30973,0.6510456608317947,0.40172368550367865,ARXR32B1187FB57099,,,,c6903a2e-063c-4f91-a284-17b8f421be7b,Gob,8355,,0,0,Muertos Vivos,611336,0.6045007385888197,SOFSOCN12A8C143F5D,Face the Ashes,6795666,0,2007
5,22050,8ee90e90bb8714300574486f379effb5,0.0,267.7024,2.264,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.635,-9.323,1,0.557,254.27,147.782,3,0.454,TRAAAMO128F1481E7F,,432935,0.5352927355118197,0.385470550555821,ARKFYS91187B98E58F,,,,79c403f9-5467-4f23-8426-9ca3fc60a115,Jeff And Sheri Easter,63801,,0,0,Ordinary Day,41838,,SOYMRWW12A6D4FAB14,The Moon And I (Ordinary Day Album Version),444964,0,0
6,22050,0e574964bf7a546a39e039f6e35aa48a,0.0,114.78159,0.096,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,-17.302,1,0.0,114.782,111.787,1,0.0,TRAAAMQ128F1460CD3,,17970,0.5564956019129572,0.2619411773808474,ARD0S291187B9B7BF5,,Ohio,,56503d6d-094e-4c28-ae3d-04cc748ade5b,Rated R,-1,,0,0,Da Ghetto Psychic,25824,,SOMJBYD12A6D4F8557,Keepin It Real (Skit),276593,0,0
7,22050,1741d2c1bd271f10e783634f286746e2,0.0,189.57016,0.319,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,-11.642,0,0.16,181.023,101.43,3,0.408,TRAAAPK128E0786D96,,21128,0.8011364469966873,0.6055071356905752,AR10USD1187B99F3F1,,"Burlington, Ontario, Canada",,d89de379-665d-425c-b2e9-41b95d1edb36,Tweeterfriendly Music,-1,,0,0,Gin & Phonic,8876,,SOHKNRJ12A6701D1F8,Drop of Rain,90004,0,0
8,22050,eda960ea61211d980653d589e8e74c1d,0.0,269.81832,5.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.717,-13.496,1,0.652,258.99,86.643,4,0.487,TRAAARJ128F9320760,,276891,0.42666785706940524,0.33227574659906806,AR8ZCNI1187B9A069B,,,,19d232b9-b4d7-4dc8-b259-bf65efb655b1,Planet P Project,-1,,0,0,Pink World,358182,0.26586104921065007,SOIAZJW12AB01853F1,Pink World,3996579,0,1984
9,22050,c76afe800148e674a30629a4686d7f9f,0.0,266.39628,0.084,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.053,-6.697,0,0.473,261.747,114.041,4,0.878,TRAAAVG12903CFA543,,242273,0.5505136978482137,0.42270564102939107,ARNTLGG11E2835DDB9,,,,4d96f7d0-2f0e-4e92-ba70-a405f96f8cec,Clp,-1,,0,0,Superinstrumental,692313,,SOUDSGM12AC9618304,Insatiable (Instrumental Version),7684249,0,0
10,22050,028c11fd932f96f85cd550ae50a1b188,0.0,218.77506,2.125,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.354,-10.021,0,0.485,207.012,146.765,1,0.0,TRAAAVO128F93133D4,,60488,0.3600311664643514,0.29626895431146333,ARGSJW91187B9B1D6B,35.21962,North Carolina,-80.01955,eb722df4-372e-4742-8586-f7ff658012d6,JennyAnyKind,-1,,0,0,I Need You,539081,0.0,SOQHXMF12AB0182363,Young Boy Blues,5967937,0,0
11,22050,f853c665c52f2ea69211840de3ba07e1,0.0,245.21098,0.357,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.07,-7.545,1,0.686,227.48,117.975,4,0.835,TRAABCL128F4286650,,4923,0.5451592956008632,0.35155586118563925,ARC43071187B990240,,"Wisner, LA",,001a1d90-56dc-4992-bd7d-970ecd7105d0,Wayne Watson,17334,,0,0,The Way Home,163874,0.26586104921065007,SOKEJEJ12A8C13E0D0,The Urgency (LP Version),1735859,0,0
12,22050,8f298a84c01d4892d820ff54104b7df8,0.0,226.35057,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.205,-6.632,1,0.305,221.553,130.04,4,0.0,TRAABDL12903CAABBA,,88523,0.5775089743252977,0.3794821702804675,ARL7K851187B99ACD2,,,,572d6bb7-58cc-4a96-8e5c-58eae4739190,Andy Andy,14303,,0,0,Placer & Castigo,575792,0.0,SOMUYGI12AB0188633,La Culpa,6381162,0,0
13,22050,1d67443d1dcad563e814414dd684b48e,0.0,191.84281,0.38,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.0,-7.75,0,0.198,188.424,137.334,1,0.319,TRAABJL12903CDCF1A,,327171,0.08551204710857879,0.25193652476242323,ARHHO3O1187B989413,,,,e870caaf-3650-4ed8-9ca1-1ac36419abb0,Bob Azzam,-1,,0,0,Arrivederci,815863,0.0,SORAMLE12AB017C8B0,Auguri Cha Cha,9014963,0,0
14,22050,e21ebf6e182f2164b43c4f68e27e6f6a,0.0,307.3824,0.612,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.524,-8.346,1,0.533,296.658,125.197,3,0.211,TRAABJV128F1460C49,,237,0.7766758556845541,0.5530719914619753,ARIK43K1187B9AE54C,,"Beverly Hills, CA",,3cb25fb2-5547-4b05-adec-1a5e37830d46,Lionel Richie,-1,,0,0,Dancing On The Ceiling,25811,,SOBONFF12A6D4F84D8,Tonight Will Be Alright,276438,0,1986
